,Budget,Countries,Counts,Downloads,IMDB_ID,Ratings,Titles
0,NaN,[South Korea],1,7,tt3004788,6.0,Yeonaeui Wondo (2013)
1,NaN,[USA],3,181,tt2298224,5.3,Holy Ghost People (2013)
2,NaN,[USA],8,36215,tt1185416,5.5,When in Rome (2010)
3,NaN,[Hungary],2,1262,tt0273674,8.5,Illatszertár (TV Movie 1987)
4,NaN,[USA],1,53,tt0382263,5.3,Restless Souls (Video 1998)
5,NaN,[UK],1,511,tt0089932,6.9,Romance on the Orient Express (TV Movie 1985)
6,"$4,000,000","[USA, Germany]",5,5998,tt0292644,6.8,The Rules of Attraction (2002)
7,NaN,[Japan],4,2382,tt1979319,7.6,Rurôni Kenshin: Meiji kenkaku roman tan (2012)
8,NaN,[Russia],1,444,tt1639405,5.3,Olimpius Inferno (2009)
9,"$300,000","[France, Italy]",3,2543,tt0059592,7.8,Pierrot le Fou (1965)
10,NaN,"[France, Italy]",2,262,tt0056917,7.1,Greed in the Sun (1964)
11,NaN,[France],1,86,tt0056910,7.1,La carrière de Suzanne (1963)
12,NaN,[UK],2,1928,tt0056912,6.4,Carry on Cabby (1963)
13,NaN,[Czechoslovakia],1,774,tt0056919,7.3,Black Peter (1964)
14,NaN,"[UK, USA]",1,214,tt0414752,7.0,"""Agatha Christie's Marple"" The Body in the Library (TV Episode 2004)"
15,"$7,400,000","[Denmark, Sweden, France, Germany]",8,25869,tt1527186,7.1,Melancholia (2011)
16,NaN,[UK],1,184,tt1607681,,Arab Treasure Ship (TV Movie 2010)
17,NaN,"[USA, Canada]",2,890,tt0055793,6.5,Big Red (1962)
18,NaN,"[West Germany, Italy, France]",4,1122,tt0059621,5.3,Pyramid of the Sun God (1965)
19,"$1,000,000",[USA],2,1352,tt0041841,7.2,Sands of Iwo Jima (1949)
20,NaN,[USA],2,551,tt0055798,7.8,Birdman of Alcatraz (1962)
21,NaN,[Hungary],1,175,tt0241026,6.8,A varieté csillagai (1939)
22,"$2,550,000",[USA],5,2070,tt0087727,5.2,Missing in Action (1984)
23,NaN,"[Italy, France]",1,2086,tt0274497,7.4,Le fate ignoranti (2001)
24,NaN,"[Argentina, Netherlands]",1,256,tt1173744,6.0,La rabia (2008)
25,NaN,[Austria],2,1523,tt1173745,7.6,Revanche (2008)
26,"$2,500,000",[USA],1,1269,tt0925245,2.9,Heatstroke (2008)
27,NaN,[Japan],1,1278,tt0047444,7.6,Miyamoto Musashi (1954)
28,"$35,000,000",[USA],12,95309,tt1931435,5.6,The Big Wedding (2013)
29,NaN,"[Canada, USA]",1,34,tt0047449,6.5,Saskatchewan (1954)
30,NaN,"[USA, UK]",1,72,tt2007385,7.3,From the Sky Down (2011)
31,"$2,000,000","[UK, USA]",1,2275,tt0925248,8.1,In the Shadow of the Moon (2007)
32,NaN,[South Korea],2,1136,tt2007387,7.4,Go-ji-jeon (2011)
33,"$4,520,000",[USA],2,1173,tt0085121,6.2,10 to Midnight (1983)
34,NaN,[Italy],2,223,tt0085124,5.2,1990: The Bronx Warriors (1982)
35,NaN,[Hong Kong],4,1935,tt0085127,7.5,Project A (1983)
36,NaN,[Germany],1,455,tt0800028,5.0,Das Inferno - Flammen über Berlin (TV Movie 2007)
37,NaN,[USA],7,6234,tt0800027,6.7,Feast of Love (2007)
38,NaN,"[New Zealand, USA]",1,476,tt0800026,4.7,Fatal Contact: Bird Flu in America (TV Movie 2006)
39,NaN,"[France, USA]",2,540,tt0800022,7.1,Electroma (2006)
40,NaN,[Hungary],1,158,tt1177919,,Lejtön (1944)
41,"$1,000,000",[USA],1,2101,tt1526585,4.7,Deadly Honeymoon (TV Movie 2010)
42,NaN,[Hungary],1,198,tt1177910,6.4,Féltékenység (1943)
43,NaN,[USA],1,477,tt1509816,6.1,Mickey's Adventures in Wonderland (Video 2009)
44,"$2,500,000","[USA, Germany]",2,858,tt1265621,3.0,Quantum Apocalypse (TV Movie 2010)
45,NaN,[USA],1,1406,tt0363630,7.3,Garfield's Feline Fantasies (TV Short 1990)
46,"$22,000,000","[UK, India]",6,1411,tt0083987,8.1,Gandhi (1982)
47,NaN,"[USA, Canada]",2,2322,tt0805619,5.0,Stir of Echoes: The Homecoming (TV Movie 2007)
48,NaN,[USA],1,739,tt0120356,4.3,Total Reality (1997)
49,"$46,000","[Afghanistan, Ireland, Japan]",2,778,tt0368913,7.4,Osama (2003)
50,NaN,[USA],1,637,tt0250990,1.7,The Bogus Witch Project (TV Movie 2000)
51,NaN,[Japan],1,125,tt1595354,7.3,Chonmage purin (2010)
52,NaN,[India],1,856,tt1185412,4.7,Veer (2010)
53,NaN,[UK],1,165,tt1043791,3.5,Dead Wood (2007)
54,NaN,"[Romania, France, Italy]",1,159,tt0066078,8.4,Michael the Brave (1971)
55,NaN,[USA],1,128,tt0056267,6.5,My Geisha (1962)
56,"$19,000,000",[USA],6,2491,tt0056264,7.2,Mutiny on the Bounty (1962)
57,"$150,000,000",[USA],6,7054,tt0371606,5.8,Chicken Little (2005)
58,NaN,"[France, Italy]",3,749,tt0056268,6.3,Les mystères de Paris (1962)
59,NaN,[],2,4347,tt1620655,5.2,"""RoboCop: Prime Directives"" Crash and Burn (TV Episode 2001)"
60,NaN,[],2,4051,tt1620657,5.4,"""RoboCop: Prime Directives"" Meltdown (TV Episode 2001)"
61,NaN,[],2,5263,tt1620656,5.2,"""RoboCop: Prime Directives"" Dark Justice (TV Episode 2001)"
62,NaN,[USA],1,117,tt0048056,6.2,The Far Horizons (1955)
63,NaN,[],2,4161,tt1620658,5.0,"""RoboCop: Prime Directives"" Resurrection (TV Episode 2001)"
64,NaN,[USA],3,1379,tt0052561,8.1,Anatomy of a Murder (1959)
65,NaN,"[UK, USA]",1,534,tt0113851,5.8,Moonlight and Valentino (1995)
66,NaN,[USA],2,832,tt0285976,3.2,Reality Check (2002)
67,NaN,[Hungary],1,315,tt0457117,7.3,III. Richárd (TV Movie 1973)
68,NaN,[UK],2,1906,tt0064505,7.4,The Italian Job (1969)
69,NaN,"[USA, Germany]",2,1089,tt0309530,6.3,Down with Love (2003)
70,NaN,[USA],1,570,tt1141984,6.5,Pooh's Super Sleuth Christmas Movie (TV Movie 2007)
71,"$18,000,000",[USA],8,15487,tt0113855,5.8,Mortal Kombat (1995)
72,"$1,200,000",[USA],2,1171,tt0098724,7.2,"Sex, Lies, and Videotape (1989)"
73,NaN,[Norway],1,91,tt0279064,7.6,Elling (2001)
74,"$300,000",[Italy],1,105,tt0084298,4.7,Manhattan Baby (1982)
75,NaN,[USA],1,162,tt0113856,5.6,The Mosaic Project (Video 1994)
76,"$3,000,000",[USA],10,30861,tt1735862,4.5,Dragon Eyes (2012)
77,NaN,[Hong Kong],2,1319,tt0111835,6.4,Zhong Nan Hai bao biao (1994)
78,NaN,[Hong Kong],1,281,tt0113153,6.6,Gei ba ba de xin (1995)
79,NaN,"[Chile, Germany]",2,2633,tt0474642,6.5,En la cama (2005)
80,NaN,[Argentina],1,464,tt1529252,7.1,El hombre de al lado (2009)
81,NaN,[Japan],1,386,tt0084746,7.8,Swan Lake (1981)
82,NaN,[USA],1,254,tt0141111,4.3,Fugitive Mind (Video 1999)
83,"$3,000,000",[USA],3,781,tt0084745,5.4,Swamp Thing (1982)
84,NaN,[Hungary],1,2014,tt0141116,6.4,Gengszterfilm (1999)
85,NaN,"[Denmark, Sweden]",1,1196,tt1298847,6.6,Oldboys (2009)
86,NaN,[USA],3,1239,tt0084749,5.7,The Sword and the Sorcerer (1982)
87,"$11,000,000","[USA, Germany, Hungary]",4,2643,tt0424908,6.8,Copying Beethoven (2006)
88,NaN,"[UK, France]",3,478,tt0469021,7.0,Alan Partridge: Alpha Papa (2013)
89,NaN,"[France, Italy, Germany, Spain, Switzerland]",5,2628,tt0301727,8.0,Winged Migration (2001)
90,"$5,000,000",[USA],3,1145,tt0080678,8.3,The Elephant Man (1980)
91,NaN,[USA],1,237,tt2325518,3.9,Beneath (2013)
92,NaN,"[USA, Canada]",3,1288,tt0144039,4.6,Atomic Train (TV Movie 1999)
93,"$95,000,000",[USA],3,2701,tt0318974,6.0,The Alamo (2004)
94,NaN,[USA],3,138,tt2325517,4.8,Almost Human (2013)
95,NaN,[France],3,1589,tt1156509,6.0,La dame de Monsoreau (TV Movie 2008)
96,NaN,[Spain],1,676,tt1242744,5.6,La herencia Valdemar (2010)
97,"$30,000,000","[USA, Italy, Luxembourg, UK]",4,5400,tt0379889,7.1,The Merchant of Venice (2004)
98,NaN,[Hungary],1,215,tt0884231,5.1,Örkény lexikon (TV Movie 2007)
99,"$38,000,000",[USA],11,30312,tt1142988,6.5,The Ugly Truth (2009)
100,NaN,"[China, Hong Kong]",1,524,tt1156506,6.7,Bo chi tung wah (2008)
101,NaN,"[Spain, France]",1,2600,tt0229694,6.4,Salsa (2000)
102,NaN,[UK],6,25892,tt1716772,6.8,The Inbetweeners Movie (2011)
103,"$16,000,000",[USA],10,18193,tt1716777,7.1,People Like Us (2012)
104,NaN,"[USA, Egypt]",1,361,tt2034696,7.6,In Tahrir Square: 18 Days of Egypt's Unfinished Revolution (2012)
105,"$9,000,000",[USA],6,3737,tt0107302,6.7,Kalifornia (1993)
106,"$125,000",[USA],1,3440,tt0829421,2.7,The American Poop Movie (2006)
107,NaN,[Germany],1,11,tt2861518,3.1,Der Fluch der Grete Müller (2013)
108,NaN,[Australia],1,1031,tt1019938,7.7,Miracle on Everest (2008)
109,"$4,000,000",[USA],2,808,tt0179473,4.1,"South of Heaven, West of Hell (2000)"
110,"$2,000,000",[USA],2,448,tt0179477,4.1,Storm Catcher (1999)
111,NaN,[USA],3,2267,tt0775529,7.2,The Savages (2007)
112,NaN,[USA],1,280,tt0091534,5.7,Modern Girls (1986)
113,"$15,000,000",[USA],3,1230,tt0094721,7.4,Beetlejuice (1988)
114,NaN,[USA],1,770,tt0242259,4.0,Alien Fury: Countdown to Invasion (TV Movie 2000)
115,"$24,500,000",[UK],6,5165,tt0091530,7.5,The Mission (1986)
116,"$27,000,000","[USA, UK]",8,5740,tt0116209,7.4,The English Patient (1996)
117,"$2,500,000",[USA],2,933,tt0438052,4.3,The Gene Generation (2007)
118,NaN,[USA],1,533,tt0488535,6.2,Expired (2007)
119,NaN,[USA],1,1526,tt0242252,6.1,The Affair of the Necklace (2001)
120,NaN,[UK],1,428,tt0091538,7.3,Mona Lisa (1986)
121,NaN,[South Korea],1,811,tt0208995,5.6,Lies (1999)
122,NaN,[USA],1,2525,tt0101685,5.2,Deadly Game (TV Movie 1991)
123,NaN,"[Italy, France]",1,90,tt0208990,7.4,La stanza del figlio (2001)
124,NaN,[UK],1,204,tt2635824,7.5,We Ride: The Story of Snowboarding (2013)
125,NaN,[India],1,380,tt0245704,6.3,Alluda Mazaaka...! (1995)
126,NaN,"[USA, Canada]",1,186,tt0101688,5.6,Deadly Surveillance (TV Movie 1991)
127,"$5,600,000",[Hong Kong],2,623,tt0093978,7.6,Sien nui yau wan (1987)
128,"$250,000",[USA],1,69,tt0093974,3.4,"Silent Night, Deadly Night Part 2 (1987)"
129,NaN,[USA],1,1822,tt0100087,5.2,Madhouse (1990)
130,NaN,[USA],1,255,tt0100084,6.5,One Man War (1990)
131,NaN,[USA],1,36,tt0085918,4.4,Mausoleum (1983)
132,NaN,[USA],2,337,tt0085919,6.5,Max Dugan Returns (1983)
133,NaN,[Hungary],1,712,tt0023340,7.4,Piri mindent tud (1932)
134,"$5,000,000","[USA, Canada]",1,2951,tt0332375,6.9,Saved! (2004)
135,"$16,000,000","[France, South Africa]",2,505,tt2249221,6.7,Zulu (2013)
136,NaN,[Serbia],4,5659,tt1900908,5.9,Klip (2012)
137,"$35,000,000","[USA, Germany]",7,11705,tt0332379,7.1,School of Rock (2003)
138,NaN,[Japan],1,409,tt1836020,5.2,Kunoichi (2011)
139,NaN,"[Canada, USA]",2,847,tt0254871,3.5,Wishmaster 3: Beyond the Gates of Hell (Video 2001)
140,"$20,000,000",[USA],3,1326,tt0066817,7.0,Bedknobs and Broomsticks (1971)
141,NaN,[USA],2,357,tt0066811,5.9,The Barefoot Executive (1971)
142,NaN,[Hungary],2,1204,tt0064082,6.1,A beszélö köntös (1969)
143,NaN,[UK],8,43382,tt1447972,5.9,StreetDance 3D (2010)
144,"$10,000,000",[USA],4,615,tt0076538,6.3,Pete's Dragon (1977)
145,NaN,[USA],1,522,tt0066819,7.2,The Beguiled (1971)
146,"$50,000",[USA],1,108,tt0023694,6.5,White Zombie (1932)
147,"$6,000,000",[USA],6,12551,tt1575694,5.3,The Hit List (2011)
148,NaN,[Germany],2,1634,tt0897289,5.8,Der geheimnisvolle Schatz von Troja (TV Movie 2007)
149,NaN,[USA],1,1136,tt0116975,6.6,The Man Who Captured Eichmann (TV Movie 1996)
150,NaN,[Canada],1,317,tt0116977,4.7,Man with a Gun (1995)
151,NaN,[UK],1,428,tt1646128,7.1,Stone Age Atlantis (TV Movie 2010)
152,NaN,"[Germany, Canada, France]",1,380,tt0105306,6.3,Desire (1992)
153,"$25,000,000","[USA, Germany]",5,13739,tt1112782,6.0,Thick as Thieves (2009)
154,NaN,[Soviet Union],1,165,tt0063369,7.3,Novye priklyucheniya neulovimykh (1968)
155,NaN,[USA],1,266,tt0031867,7.9,The Roaring Twenties (1939)
156,NaN,"[France, Germany, UK, USA]",1,1009,tt0116592,5.5,"I Love You, I Love You Not (1996)"
157,NaN,[Spain],12,30666,tt1764625,5.9,Las aventuras de Tadeo Jones (2012)
158,NaN,[USA],1,522,tt0118539,2.6,3 Ninjas: High Noon at Mega Mountain (1998)
159,NaN,"[UK, USA]",1,331,tt0093029,6.3,Five Corners (1987)
160,"$20,000,000",[USA],1,2789,tt0118531,6.7,One Eight Seven (1997)
161,"$237,000,000","[USA, UK]",43,195748,tt0499549,7.9,Avatar (2009)
162,NaN,[Germany],1,667,tt0118535,6.6,"Two Women, Two Men (1998)"
163,NaN,[Norway],1,372,tt1337366,6.5,Nokas (2010)
164,"$65,000",[USA],1,109,tt0890881,7.9,Redemption Maddie (2007)
165,NaN,"[Italy, France, Turkey]",1,169,tt0890885,6.7,Saturn in Opposition (2007)
166,NaN,"[USA, Yugoslavia]",1,1039,tt0090285,7.0,Wallenberg: A Hero's Story (TV Movie 1985)
167,NaN,[USA],2,5041,tt1776307,6.2,Strawberry Shortcake: The Glimmerberry Ball Movie (2010)
168,NaN,[USA],2,5115,tt1776306,7.3,Strawberry Shortcake: The Berryfest Princess (Video 2010)
169,NaN,[USA],1,18,tt0048696,6.5,Tarantula (1955)
170,"$21,000,000","[France, Canada]",1,427,tt1117667,6.7,XIII (TV Mini-Series 2008)
171,NaN,[USA],1,68,tt0048691,6.7,The Tall Men (1955)
