ID,Category,genre
1488363,Electronic,house
1488355,Electronic,chillout/ambient
1488354,Pop,pop
1488353,Electronic,house
1488351,Electronic,chillout/ambient
1488350,Electronic,house
1488349,Electronic,house
1488311,rock,alternative
1488309,Other,blues
1488309,Other,soul
1488308,Electronic,drum'n'bass
1488308,Electronic,drum'n'bass
1488307,Other,blues
1488307,Other,soul
1488298,rock,rock
1488298,rock,rock
1488294,Electronic,psychedelic/acid/goa
1488294,Other,jazz
1488294,Hip-hop,funk
1488292,Electronic,psychedelic/acid/goa
1488292,Other,jazz
1488292,Hip-hop,funk
1488289,Pop,italo-disco
1488289,Pop,dicso
1488289,Pop,europop
1488284,Electronic,trance/techno
1488283,Electronic,trance/techno
1488282,Electronic,trance/techno
1488273,Electronic,electronic
1488270,Electronic,house
1488270,Pop,dance
1488270,Electronic,electronic
1488261,Electronic,chillout/ambient
1488261,Other,meditation
1488259,rock,dark-rock
1488255,Electronic,trance/techno
1488254,Electronic,trance/techno
1488242,Electronic,trance/techno
1488241,Electronic,trance/techno
1488237,Electronic,trance/techno
1488233,Electronic,trance/techno
1488232,Other,comedy
1488232,Other,comedy
1488231,Electronic,chillout/ambient
1488231,rock,dark-rock
1488231,rock,dark-rock
1488230,Electronic,trance/techno
1488226,Electronic,trance/techno
1488221,Electronic,trance/techno
1488204,Electronic,trance/techno
1488202,Electronic,psychedelic/acid/goa
1488202,rock,rock
1488202,Electronic,trance/techno
1488200,Electronic,chillout/ambient
1488200,rock,rock
1488195,Electronic,trance/techno
1488187,Electronic,trance/techno
1488185,Electronic,psychedelic/acid/goa
1488179,Electronic,trance/techno
1488172,Electronic,trance/techno
1488171,Electronic,trance/techno
1488169,Other,blues
1488169,rock,rock
1488167,Electronic,trance/techno
1488166,Other,audiobook
1488162,rock,hardcore
1488162,rock,rock
1488159,rock,psychedelic-rock
1488125,rock,hardcore
1488125,rock,dark-rock
1488125,rock,dark-rock
1488124,Electronic,trance/techno
1488118,rock,dark-rock
1488118,rock,dark-rock
1488105,Electronic,trance/techno
1488096,rock,dark-rock
1488096,rock,dark-rock
1488096,rock,dark-rock
1488090,Electronic,trance/techno
1488087,Electronic,trance/techno
1488086,Electronic,electronic
1488086,Electronic,house
1488086,Electronic,trance/techno
1488086,Electronic,house
1488086,Electronic,trance/techno
1488069,Electronic,electronic
1488068,Electronic,house
1488051,Electronic,chillout/ambient
1488051,Electronic,chillout/ambient
1488051,Electronic,trance/techno
1488041,Other,jazz
1488018,Other,folk
1488010,Electronic,electronic
1488010,rock,dark-rock
1488006,Other,jazz
1488005,rock,punk
1488005,rock,hardcore
1488003,rock,punk
1488003,rock,hardcore
1487995,rock,alternative
1487995,rock,rock
1487995,Pop,pop
1487995,rock,punk
1487993,Electronic,trance/techno
1487992,Electronic,house
1487992,Electronic,trance/techno
1487992,Electronic,house
1487991,Electronic,house
1487991,Electronic,house
1487991,Electronic,house
1487991,Electronic,trance/techno
1487991,Electronic,house
1487990,Electronic,trance/techno
1487989,Electronic,house
1487989,Electronic,trance/techno
1487989,Electronic,house
1487988,Electronic,house
1487988,Electronic,trance/techno
1487988,Electronic,house
1487987,Electronic,house
1487986,Electronic,house
1487986,Electronic,house
1487986,Electronic,house
1487985,Electronic,trance/techno
1487984,Electronic,house
1487983,Electronic,house
1487983,Electronic,house
1487983,Electronic,house
1487982,Electronic,house
1487982,Electronic,trance/techno
1487982,Electronic,house
1487981,Electronic,house
1487980,Electronic,house
1487980,Electronic,trance/techno
1487980,Electronic,house
1487979,Electronic,house
1487979,Electronic,trance/techno
1487979,Electronic,house
1487978,Electronic,house
1487978,Electronic,trance/techno
1487978,Electronic,house
1487977,Electronic,house
1487977,Electronic,trance/techno
1487977,Electronic,house
1487976,Electronic,house
1487975,Electronic,trance/techno
1487974,Electronic,house
1487974,Electronic,house
1487974,Electronic,house
1487974,Electronic,trance/techno
1487974,Electronic,house
1487973,Electronic,house
1487973,rock,rock
1487973,Electronic,house
1487972,Electronic,house
1487972,Electronic,trance/techno
1487972,Electronic,house
1487971,Electronic,house
1487970,Electronic,house
1487970,Electronic,trance/techno
1487970,Electronic,house
1487969,Electronic,trance/techno
1487968,Electronic,house
1487968,Electronic,trance/techno
1487968,Electronic,house
1487967,Electronic,house
1487967,Electronic,house
1487967,Electronic,house
1487967,Pop,indie
1487967,Pop,dance
1487967,rock,dark-metal
1487967,Pop,dicso
1487966,Electronic,house
1487966,Electronic,trance/techno
1487966,Electronic,house
1487965,Electronic,house
1487965,Electronic,trance/techno
1487965,Electronic,house
1487964,Electronic,house
1487964,Electronic,house
1487964,Electronic,house
1487963,Electronic,house
1487963,Electronic,house
1487963,Electronic,house
1487962,Electronic,house
1487962,Electronic,trance/techno
1487962,Electronic,house
1487961,Electronic,house
1487961,Electronic,house
1487961,Electronic,house
1487960,Electronic,house
1487960,Electronic,trance/techno
1487960,Electronic,house
1487959,Electronic,trance/techno
1487958,Electronic,house
